id,report_date,occured_date,occured_time,area,crime,victim_age,victim_sex,victim_descent,premise,weapon,status,lat,lon
1307355,2010-02-20,2010-02-20,13:50,Newton,VIOLATION OF COURT ORDER,48,M,Hispanic/Latin/Mexican,SINGLE FAMILY DWELLING,,Adult Arrest,33.9825,-118.2695
11401303,2010-09-13,2010-09-12,00:45,Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,White,STREET,,Invest Cont,33.9599,-118.3962
70309629,2010-08-09,2010-08-09,15:15,Newton,OTHER MISCELLANEOUS CRIME,0,M,Hispanic/Latin/Mexican,ALLEY,,Invest Cont,34.0224,-118.2524
90631215,2010-01-05,2010-01-05,01:50,Hollywood,VIOLATION OF COURT ORDER,47,F,White,STREET,HAND GUN,Invest Cont,34.1016,-118.3295
100100501,2010-01-03,2010-01-02,21:00,Central,"RAPE, ATTEMPTED",47,F,Hispanic/Latin/Mexican,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0387,-118.2488
100100506,2010-01-05,2010-01-04,16:50,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,Black,DEPARTMENT STORE,,Adult Arrest,34.048,-118.2577
100100508,2010-01-08,2010-01-07,20:05,Central,BURGLARY FROM VEHICLE,46,M,Hispanic/Latin/Mexican,STREET,,Invest Cont,34.0389,-118.2643
100100509,2010-01-09,2010-01-08,21:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,M,Black,OTHER PREMISE,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,34.0435,-118.2427
100100510,2010-01-09,2010-01-09,02:30,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,Hispanic/Latin/Mexican,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.045,-118.264
100100511,2010-01-09,2010-01-06,21:00,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,M,White,OTHER PREMISE,,Invest Cont,34.0538,-118.2488
100100521,2010-01-14,2010-01-14,14:45,Central,BATTERY - SIMPLE ASSAULT,38,F,Black,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.064,-118.2375
100100522,2010-01-15,2010-01-14,20:00,Central,ROBBERY,40,M,Hispanic/Latin/Mexican,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.035,-118.2386
100100523,2010-01-15,2010-01-15,02:45,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",24,F,White,SIDEWALK,,Adult Arrest,34.0409,-118.2609
100100529,2010-01-16,2010-01-15,17:45,Central,BOMB SCARE,29,F,Black,LIBRARY,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,34.0502,-118.254
100100531,2010-01-16,2010-01-15,20:30,Central,ROBBERY,47,M,Other Asian,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0515,-118.2424
100100535,2010-01-17,2010-01-16,17:35,Central,OTHER MISCELLANEOUS CRIME,41,M,White,ALLEY,,Invest Cont,34.0389,-118.255
100100552,2010-01-23,2010-01-23,12:25,Central,CHILD NEGLECT (SEE 300 W.I.C.),11,M,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,Invest Cont,34.0401,-118.2668
100100553,2010-01-23,2010-01-23,11:00,Central,ROBBERY,50,M,White,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0428,-118.2461
100100555,2010-01-23,2010-01-23,20:00,Central,INTIMATE PARTNER - AGGRAVATED ASSAULT,18,F,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0545,-118.2499
100100561,2010-01-26,2010-01-26,18:20,Central,ROBBERY,37,M,Hispanic/Latin/Mexican,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0563,-118.2374
100100562,2010-01-28,2010-01-28,23:45,Central,INTIMATE PARTNER - SIMPLE ASSAULT,28,M,Other,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0502,-118.254
100100564,2010-01-30,2010-01-29,16:30,Central,BURGLARY FROM VEHICLE,25,F,White,STREET,,Invest Cont,34.0454,-118.236
100100570,2010-01-31,2010-01-31,01:30,Central,THEFT PLAIN - PETTY ($950 & UNDER),31,M,Hispanic/Latin/Mexican,RESTAURANT/FAST FOOD,,Invest Cont,34.0472,-118.2371
100100571,2010-01-31,2010-01-31,10:00,Central,BATTERY - SIMPLE ASSAULT,36,F,Hispanic/Latin/Mexican,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.0382,-118.2665
100100572,2010-02-01,2010-01-31,17:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,F,Black,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,34.0423,-118.2452
100100573,2010-02-01,2010-01-31,22:00,Central,INTIMATE PARTNER - SIMPLE ASSAULT,50,M,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.046,-118.2509
100100574,2010-02-01,2010-01-31,19:30,Central,BATTERY - SIMPLE ASSAULT,40,M,White,BAR/COCKTAIL/NIGHTCLUB,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.0461,-118.2476
100100575,2010-02-01,2010-01-31,17:20,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,M,White,OTHER PREMISE,,Adult Arrest,34.0437,-118.2652
100100578,2010-02-05,2010-02-03,12:55,Central,OTHER MISCELLANEOUS CRIME,27,M,Hispanic/Latin/Mexican,OTHER PREMISE,,Invest Cont,34.0357,-118.2563
100100580,2010-02-02,2010-02-01,13:55,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,48,F,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,Adult Other,34.0394,-118.2405
100100581,2010-02-05,2010-02-05,14:25,Central,BATTERY - SIMPLE ASSAULT,32,F,Hispanic/Latin/Mexican,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0446,-118.245
100100586,2010-02-06,2010-02-06,01:10,Central,BATTERY - SIMPLE ASSAULT,36,F,Hispanic/Latin/Mexican,BAR/COCKTAIL/NIGHTCLUB,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.045,-118.264
100100587,2010-02-05,2010-02-05,20:30,Central,BATTERY - SIMPLE ASSAULT,45,F,Black,HOTEL,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,34.0439,-118.2514
100100591,2010-02-10,2010-02-08,16:25,Central,BURGLARY FROM VEHICLE,22,F,White,PARKING LOT,,Invest Cont,34.0415,-118.2654
100100592,2010-02-08,2010-02-08,18:00,Central,THEFT PLAIN - PETTY ($950 & UNDER),23,M,Hispanic/Latin/Mexican,OTHER BUSINESS,,Adult Arrest,34.048,-118.2577
100100608,2010-02-11,2010-02-10,19:00,Central,ATTEMPTED ROBBERY,27,M,Hispanic/Latin/Mexican,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0502,-118.2574
100100610,2010-02-11,2010-02-10,18:00,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,Black,DEPARTMENT STORE,,Adult Arrest,34.048,-118.2577
100100616,2010-02-11,2010-02-11,15:15,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,Hispanic/Latin/Mexican,SIDEWALK,,Adult Arrest,34.0389,-118.2643
100100622,2010-02-13,2010-02-13,00:55,Central,BATTERY - SIMPLE ASSAULT,24,M,Other,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.045,-118.264
100100623,2010-02-13,2010-02-13,01:50,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),22,F,White,RESTAURANT/FAST FOOD,,Adult Arrest,34.0559,-118.2296
100100628,2010-02-15,2010-02-14,15:00,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0426,-118.2412
100100630,2010-02-15,2010-02-15,01:00,Central,ROBBERY,22,F,Other,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0544,-118.2466
100100632,2010-02-16,2010-02-16,15:40,Central,INTIMATE PARTNER - SIMPLE ASSAULT,22,F,Hispanic/Latin/Mexican,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0449,-118.2415
